,date,wallet_address,sent_amount_btc,received_amount_btc
3032,2011-03-01,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,79956.0
3031,2011-06-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001
3030,2012-06-23,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.031337
3029,2012-07-16,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.999
3028,2012-10-23,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.009763
3027,2013-01-26,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001
3026,2013-04-09,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-06
3025,2013-06-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1.5e-05
3024,2013-06-30,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08
3023,2013-07-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005
3022,2013-07-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.002
3021,2013-10-13,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08
3020,2013-10-16,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08
3019,2013-10-19,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08
3018,2013-11-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0002
3017,2013-11-25,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3016,2013-11-25,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0008
3015,2013-11-26,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3014,2013-12-01,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3012,2013-12-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-06
3013,2013-12-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3011,2013-12-03,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3010,2013-12-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3009,2013-12-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3008,2013-12-06,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3007,2013-12-18,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3006,2013-12-20,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3005,2013-12-21,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001109
3002,2014-01-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05
3004,2014-01-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3003,2014-01-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3001,2014-01-23,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
3000,2014-01-30,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2999,2014-02-07,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00777
2998,2014-02-28,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00085543
2997,2014-03-07,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2996,2014-03-11,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2995,2014-03-12,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2994,2014-03-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00015
2992,2014-03-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,5.5e-05
2993,2014-03-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00014
2991,2014-04-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2989,2014-04-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0006
2990,2014-04-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005
2988,2014-06-17,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2987,2014-06-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2986,2014-07-29,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2985,2014-07-30,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2984,2014-08-30,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2983,2014-09-07,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05
2982,2014-09-08,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2981,2014-09-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2980,2014-09-25,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08
2979,2014-10-04,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2978,2014-10-05,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2977,2014-10-06,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2975,2014-10-12,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,8.888e-05
2976,2014-10-12,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2974,2014-10-13,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2973,2014-10-20,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.05
2972,2014-10-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2971,2014-11-21,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2970,2014-12-10,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00028563
2969,2014-12-29,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00053856
2968,2015-01-20,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00010001
2967,2015-01-28,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00010003
2966,2015-03-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2965,2015-03-07,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2964,2015-03-10,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2963,2015-04-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005
2962,2015-04-03,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005
2961,2015-09-09,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001
2960,2015-11-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2959,2015-11-24,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,3.103e-05
2958,2015-12-02,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2957,2016-01-05,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00074562
2956,2016-01-05,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001
2955,2016-01-05,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2954,2016-01-07,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2953,2016-01-12,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2952,2016-01-15,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2951,2016-01-21,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2950,2016-02-12,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001
2949,2016-02-13,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.723e-05
7303,2016-03-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,39.10041289
7302,2016-03-16,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,39.10041289,37.14523757
7301,2016-03-16,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,37.14523757,35.28782096
7298,2016-03-16,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,35.28782096,33.52325942
7299,2016-03-16,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,35.67265883
7300,2016-03-16,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,36.08165236
7297,2016-03-17,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,36.08165236,30.81755313
7296,2016-03-18,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,35.67265883,30.67176458
7295,2016-03-19,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,33.52325942,28.77242238
7294,2016-03-23,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,30.81755313,26.30425792
7293,2016-03-24,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,30.67176458,27.69937216
7292,2016-03-25,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,28.77242238,26.01840523
7291,2016-04-19,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,267.95378221
7290,2016-04-20,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,255.0699349
7289,2016-04-21,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.12675229
7288,2016-04-29,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.80751558
7287,2016-05-18,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,558.10558005
7286,2016-05-19,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,455.23686805
2948,2016-05-21,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05
7285,2016-05-24,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,435.10194757
7284,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7278,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7279,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7283,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7280,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7281,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7282,2016-06-15,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7277,2016-06-23,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.0
7276,2016-07-02,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
7275,2016-07-06,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,267.95378221,266.95345374
7274,2016-07-06,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,558.10558005,557.10525159
7273,2016-07-12,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0
2947,2016-07-27,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0003
