title,link,date
XRP price poised for 46% gains after Ripple secures first Dubai license,https://cointelegraph.com/news/xrp-price-46-gains-after-ripple-secures-first-dubai-license,2025-03-14
Crypto regulation shifts as Bitcoin eyes $105K amid liquidity boost,https://cointelegraph.com/news/crypto-regulation-shifts-as-bitcoin-eyes-105-k-amid-liquidity-boost,2025-03-13
Solana price bottom below $100? Death cross hints at 30% drop,https://cointelegraph.com/news/solana-price-bottom-below-100-death-cross-30-drop,2025-03-13
Bitcoin price drops 2% as falling inflation boosts US trade war fears,https://cointelegraph.com/news/bitcoin-price-drops-2-falling-inflation-us-trade-war-fears,2025-03-13
Trump family held talks with Binance for stake in crypto exchange — Report,https://cointelegraph.com/news/trump-family-had-talks-for-stake-in-binance-crypto-exchange-report,2025-03-13
Will Bitcoin price reclaim $95K before the end of March?,https://cointelegraph.com/news/will-bitcoin-price-reclaim-95k-before-end-march,2025-03-13
Bybit CEO on ‘brutal’ $4M Hyperliquid loss: Lower leverage as positions grow,https://cointelegraph.com/news/hyperliquid-4-million-loss-leverage-eth-trader,2025-03-13
3 reasons why Ethereum can outperform its rivals after crashing to 17-month lows,https://cointelegraph.com/news/ethereum-can-outperform-rivals-crashing-17-month-lows,2025-03-13
Bitcoin must secure weekly close above $89K to confirm bottom has passed,https://cointelegraph.com/news/bitcoin-price-weekly-close-89k-bottom-resume-uptrend-crypto-analyst,2025-03-13
Ethereum 'falling knife' warning: Is another 30% crash versus Bitcoin coming?,https://cointelegraph.com/news/ethereum-falling-knife-another-30-crash-bitcoin,2025-03-13
ETH/BTC hits 5-year low as trader suggests rotation into stronger alts,https://cointelegraph.com/news/ether-bitcoin-ratio-multi-year-low-rotate-altcoins-crypto-analyst,2025-03-13
"Crypto trading volume slumps, signaling market exhaustion: Analysis",https://cointelegraph.com/news/crypto-trading-volume-decline-reflects-diminishing-trader-enthusiasm-analysts,2025-03-13
"Bitcoin dominance hits new highs, alts fade: Research",https://cointelegraph.com/news/bitcoin-dominance-reaches-new-highs-alts-fade,2025-03-12
SEC postpones ruling on Fidelity Ether ETF options,https://cointelegraph.com/news/sec-delays-decision-on-fidelity-eth-etf-options,2025-03-12
Will Ethereum price bottom at $1.6K?,https://cointelegraph.com/news/will-ethereum-price-bottom-1-6k,2025-03-12
"Price analysis 3/12: BTC, ETH, XRP, BNB, SOL, ADA, DOGE, PI, LEO, HBAR",https://cointelegraph.com/news/price-analysis-3-12-btc-eth-xrp-bnb-sol-ada-doge-pi-leo-hbar,2025-03-13
Bitcoin battles US sellers as CPI inflation sees first drop since mid-2024,https://cointelegraph.com/news/bitcoin-battles-us-sellers-cpi-inflation-sees-first-drop-since-mid-2024,2025-03-12
Why is XRP price up today?,https://cointelegraph.com/news/why-is-xrp-price-up-today,2025-03-12
Crypto whale liquidated for $308M in leveraged Ether trade,https://cointelegraph.com/news/ether-trader-loses-308-m-50x-leverage-market-volatility,2025-03-12
XRP ETF: Here are the funds awaiting SEC approval so far,https://cointelegraph.com/news/xrp-etf-filings-awaiting-sec-approval,2025-03-12
Bitcoin’s next catalyst: End of $36T US debt ceiling suspension,https://cointelegraph.com/news/bitcoin-catalyst-end-of-36-t-us-debt-ceiling-suspension,2025-03-12
Is Bitcoin price going to crash again?,https://cointelegraph.com/news/is-bitcoin-price-going-to-crash-again,2025-03-12
Bitcoin whales hint at $80K ‘market rebound’ as Binance inflows cool,https://cointelegraph.com/news/bitcoin-whales-hint-80k-market-rebound-binance-inflows-cool,2025-03-12
Why is Bitcoin price up today?,https://cointelegraph.com/news/why-is-bitcoin-price-up-today,2025-03-12
"Bitcoin high-entry buyers are driving sell pressure, price may ‘floor’ at $70K",https://cointelegraph.com/news/bitcoin-high-entry-buyers-sell-pressure-btc-retrace-possible,2025-03-12
Bitcoin jumps 7% despite metrics flashing ‘bearish territory’,https://cointelegraph.com/news/bitcoin-price-spike-valuation-metrics-bearish-crypto-analyst,2025-03-12
4 signs that $76.7K Bitcoin is probably the ultimate low,https://cointelegraph.com/news/4-reasons-why-76-7k-bitcoin-btc-is-the-ultimate-low,2025-03-12
Bitcoin dips below $80K as Trump Canada tariffs halt BTC price comeback,https://cointelegraph.com/news/bitcoin-dips-below-80-k-as-trump-canada-tariffs-risk-asset-relief,2025-03-11
3 reasons XRP might drop to $1.60 in March,https://cointelegraph.com/news/3-reasons-xrp-might-drop-1-60-march,2025-03-11
Why is Dogecoin price down today?,https://cointelegraph.com/news/why-is-dogecoin-doge-price-down-today,2025-03-11
Why is Ethereum (ETH) price down today?,https://cointelegraph.com/news/why-is-ethereum-eth-price-down-today,2025-03-11
Why is Cardano price down today?,https://cointelegraph.com/news/why-is-cardano-price-down-today,2025-03-11
Bitcoin price bounces 4% as data gives ‘89% chance’ stocks bottom is in,https://cointelegraph.com/news/bitcoin-price-bounces-4-data-89-chance-stocks-bottom-is-in,2025-03-11
Why is XRP price down today?,https://cointelegraph.com/news/why-is-xrp-price-down-today,2025-03-11
Investors flee from risk assets as JPMorgan ups recession odds to 40%,https://cointelegraph.com/news/investors-skitter-off-risk-assets-jpmorgan-raises-recession-chances,2025-03-11
"4 things must happen before Ethereum can reclaim $2,600",https://cointelegraph.com/news/4-things-before-ethereum-reclaim-2-600,2025-03-11
