,date,wallet_address,sent_amount_btc,received_amount_btc
2007,2019-07-12,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,3000.0
1675,2020-01-18,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,3000.0
1607,2020-01-18,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,3000.0
1640,2020-01-18,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,3000.0
2003,2020-03-14,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,6e-06
2458,2020-08-09,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1639,2020-08-13,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
1606,2020-08-13,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2004,2020-08-13,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
2448,2020-08-13,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
2471,2020-08-19,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1674,2020-08-21,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,5.47e-06
1605,2020-08-27,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
1638,2020-08-27,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
2021,2020-08-27,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
2427,2020-08-30,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
2430,2020-09-12,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1604,2020-09-18,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2011,2020-09-18,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
2436,2020-09-24,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1637,2020-09-29,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
1673,2020-09-29,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,5.47e-06
1603,2020-10-04,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2012,2020-10-04,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
2453,2020-10-07,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
2442,2020-10-24,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1636,2020-10-29,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
1602,2020-10-29,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2001,2020-10-29,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
1672,2020-10-29,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,5.47e-06
2455,2020-11-06,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.55e-06
2428,2020-11-14,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
1671,2020-11-17,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,5.47e-06
2000,2020-11-17,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
1635,2020-11-17,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
1601,2020-11-17,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2438,2020-12-05,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2194.59542834,0.0
2426,2020-12-05,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,512.24204049,0.0
2462,2020-12-09,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.0,5.47e-06
2467,2020-12-11,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1785.15874882,0.0
2435,2020-12-13,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,762.4491794,0.0
1600,2020-12-14,1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,0.0,5.47e-06
2015,2020-12-14,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,0.0,5.47e-06
2433,2020-12-16,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1691.03811996,0.0
1670,2020-12-18,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,0.0,5.47e-06
1634,2020-12-18,1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,0.0,5.47e-06
