,date,whale_address,sent_amount_btc,received_amount_btc
2229,2010-05-27,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,0.0,100.0
11617,2010-07-25,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,0.0,4000.0
12715,2010-08-07,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,350.0
12721,2010-08-10,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12722,2010-08-11,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12730,2010-08-12,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12732,2010-08-14,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12712,2010-08-15,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12707,2010-08-19,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,50.0,0.0
12709,2010-09-05,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,50.0
12725,2010-10-08,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,100.0
12731,2010-10-28,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,2000.0
4542,2010-11-09,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,0.0,6999.0
12744,2011-01-12,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,0.0,1000.0
11784,2011-01-13,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,100.0
11797,2011-01-14,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,909.31
11791,2011-01-14,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,555.79
11780,2011-01-14,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,999.0
11766,2011-01-15,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,1300.0
11768,2011-01-15,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,0.02
11785,2011-01-15,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,88.0
11765,2011-01-15,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,10.0
11776,2011-01-15,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,0.0,0.5
12717,2011-04-24,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,350.0,0.0
4782,2011-04-24,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,0.0,6511.96
1926,2011-05-04,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,0.0,10000.0
11941,2011-05-10,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,0.0,50.34
11642,2011-05-17,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,0.0,4000.0
7698,2011-05-17,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,0.0,5000.0
4477,2011-05-28,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,0.0,1000.0
11930,2011-05-29,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,50.01,0.0
11917,2011-06-02,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,0.0,58.97
4490,2011-06-03,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,0.0,6000.0
11935,2011-06-14,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,0.0,27.445
13347,2011-07-29,16oKJMcUZkDbq2tXDr9Fm2HwgBAkJPquyU,0.0,3214.5234
10080,2011-08-08,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,0.0,4322.33
10043,2011-08-08,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,0.0,4333.0
12923,2011-08-08,1Gn1GzVa88T1X3fdhejyq6jrZs43T24xW6,0.0,3248.8
11923,2011-12-26,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,27.445,0.0
11944,2011-12-26,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,50.01,0.0
12119,2013-03-13,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,0.0,500.0
8356,2013-04-25,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,0.0,4881.139
2867,2013-04-25,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,0.0,8020.7
11128,2013-04-25,1GX7i8jG8DD1mG85BNnz7xybVhSmw84Uii,0.0,4108.8
5717,2013-04-25,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,0.0,6315.903
12053,2013-04-25,1GMFSWQQQhCQyRNQcac9tDKcvqYCuripVs,0.0,3674.197
12107,2013-06-15,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,0.0,3100.0
8364,2013-08-01,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,0.0,0.001
5704,2013-08-01,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,0.0,0.001
1921,2013-10-13,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,0.0,1e-08
1851,2013-10-13,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,0.0,1e-08
1934,2013-11-25,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,0.0,0.0001
2237,2013-11-25,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,0.0,0.0001
1895,2013-11-26,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,0.0,0.0001
