DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SMA_14,RSI_14,BOLLINGER_UPPER,BOLLINGER_MIDDLE,BOLLINGER_LOWER,MACD,MACD_SIGNAL,MACD_HIST,ATR,STDDEV,PIVOT,R1,S1,R2,S2,R3,S3,ENGULFING,DOJI,HAMMER,MORNINGSTAR,OBV
2022-03-10,41974.0703125,42004.7265625,38832.94140625,39437.4609375,31078064711,40366.48577008928,47.64726067502604,44048.11229361067,39733.7412109375,35419.37012826433,-259.17809155482973,-225.51924246900097,-33.65884908582876,2276.6102984832014,2212.797174309775,40091.709635416664,41350.47786458333,38178.69270833333,43263.494791666664,36919.924479166664,44522.26302083333,35006.90755208333,0,0,0,0,-491388313941.0
2022-03-11,39439.96875,40081.6796875,38347.43359375,38794.97265625,26364890465,40336.53962053572,46.03878325828755,43996.616109863666,39667.38203125,35338.14795263634,-337.9218658789687,-247.9997671509945,-89.92209872797417,2237.869998145116,2230.9507592058985,39074.6953125,39801.95703125,38067.7109375,40808.94140625,37340.44921875,41536.203125,36333.46484375,0,0,0,0,-517753204406.0
2022-03-12,38794.46484375,39308.59765625,38772.53515625,38904.01171875,14616450657,40322.17271205357,46.36967735681224,43998.10549716455,39691.013671875,35383.92184658545,-387.0664719348715,-275.8131081077699,-111.25336382710162,2116.312319706179,2239.4658210470056,38995.048177083336,39217.56119791667,38681.49869791667,39531.110677083336,38458.985677083336,39753.62369791667,38145.43619791667,0,1,0,0,-503136753749.0
2022-03-13,38884.7265625,39209.3515625,37728.14453125,37849.6640625,17300745310,40332.1640625,43.58647100461853,43955.22044829944,39729.7328125,35504.245176700555,-505.2665720848309,-321.70380090318207,-183.56277118164877,2070.947656245023,2228.0714433300027,38262.38671875,38796.62890625,37315.421875,39743.59375,36781.1796875,40277.8359375,35834.21484375,0,0,0,0,-520437499059.0
2022-03-14,37846.31640625,39742.5,37680.734375,39666.75390625,24322159070,40080.27260044643,49.24106094622272,43972.45071380655,39798.769140625,35625.08756744345,-447.1624285745711,-346.7955264374599,-100.3669021371112,2070.2917968703787,2085.134288480381,39029.99609375,40379.2578125,38317.4921875,41091.76171875,36968.23046875,42441.0234375,36255.7265625,1,0,0,0,-496115339989.0
2022-03-15,39664.25,39794.62890625,38310.2109375,39338.78515625,23934000868,39721.99748883928,48.30002555803051,43921.82861634767,39900.8798828125,35879.93114927733,-422.7061203705307,-361.9776452240741,-60.72847514645662,2028.4436662903515,1718.627987869868,39147.875,39985.5390625,38501.12109375,40632.29296875,37663.45703125,41469.95703125,37016.703125,0,0,0,0,-520049340857.0
2022-03-16,39335.5703125,41465.453125,39022.34765625,41143.9296875,39616916192,39523.41266741072,53.56055845967356,44029.695337097815,40041.4458984375,36053.19645977719,-254.7278978275208,-340.52769574476343,85.79979791724264,2058.0623664660407,1340.6695669152502,40543.91015625,42065.47265625,39622.3671875,42987.015625,38100.8046875,44508.578125,37179.26171875,1,0,0,0,-480432424665.0
2022-03-17,41140.84375,41287.53515625,40662.87109375,40951.37890625,22009601093,39416.240513392855,52.94175077197555,44116.37248585195,40128.30390625,36140.23532664805,-135.57832256929396,-299.53782110966955,163.9594985403756,1955.6767733256092,1148.4904846529455,40967.26171875,41271.65234375,40646.98828125,41591.92578125,40342.59765625,41896.31640625,40022.32421875,0,1,0,0,-502442025758.0
2022-03-18,40944.83984375,42195.74609375,40302.3984375,41801.15625,34421564942,39606.494140625,55.3912387568298,44285.8302363979,40263.104296875,36240.37835735209,27.10604242012778,-234.20904840371009,261.31509082383786,1951.2246935344945,1297.5212877939907,41433.100260416664,42563.80208333333,40670.45442708333,43326.447916666664,39539.752604166664,44457.14973958333,38777.10677083333,1,0,0,0,-468020460816.0
2022-03-19,41794.6484375,42316.5546875,41602.66796875,42190.65234375,19664853187,39805.78459821428,56.5086802068314,44414.07302411915,40487.14765625,36560.22228838085,185.3273154326962,-150.30177563642883,335.629091069125,1862.843409621316,1455.2688193438455,42036.625,42470.58203125,41756.6953125,42750.51171875,41322.73828125,43184.46875,41042.80859375,0,0,0,0,-448355607629.0
2022-03-20,42191.40625,42241.1640625,41004.7578125,41247.82421875,20127946682,40007.773158482145,53.04480994412882,44136.08073857008,40389.8771484375,36643.67355830492,231.9664986712305,-73.84812077489696,305.8146194461275,1818.0978982197937,1445.1185670975765,41497.915364583336,41991.07291666667,40754.66666666667,42734.321614583336,40261.509114583336,43227.47916666667,39518.26041666667,-1,0,0,0,-468483554311.0
2022-03-21,41246.1328125,41454.41015625,40668.04296875,41077.99609375,24615543271,40223.19866071428,52.42148069543136,43524.152975850026,40226.0451171875,36927.93725852498,252.31613370231935,-8.615269879453685,260.93140358177305,1744.4028474540942,1361.3787476127925,41066.81640625,41465.58984375,40679.22265625,41853.18359375,40280.44921875,42251.95703125,39892.85546875,0,0,0,0,-493099097582.0
